date_time,tank,treat,pH,temp
2023-02-22 16:30:00,7,high,7.53,10.16
2023-02-22 16:35:00,7,high,7.531,10.16
2023-02-22 16:40:00,7,high,7.532,10.16
2023-02-22 16:45:00,7,high,7.532,10.16
2023-02-22 16:50:00,7,high,7.533,10.16
2023-02-22 16:55:00,7,high,7.533,10.15
2023-02-22 17:00:00,7,high,7.533,10.14
2023-02-22 17:05:00,7,high,7.532,10.14
2023-02-22 17:10:00,7,high,7.538,10.14
2023-02-22 17:15:00,7,high,7.535,10.13
2023-02-22 17:20:00,7,high,7.534,10.13
2023-02-22 17:25:00,7,high,7.535,10.13
2023-02-22 17:30:00,7,high,7.536,10.12
2023-02-22 17:35:00,7,high,7.535,10.12
2023-02-22 17:40:00,7,high,7.537,10.11
2023-02-22 17:45:00,7,high,7.538,10.11
2023-02-22 17:50:00,7,high,7.539,10.1
2023-02-22 17:55:00,7,high,7.538,10.1
2023-02-22 18:00:00,7,high,7.539,10.1
2023-02-22 18:05:00,7,high,7.54,10.09
2023-02-22 18:10:00,7,high,7.541,10.09
2023-02-22 18:15:00,7,high,7.54,10.08
2023-02-22 18:20:00,7,high,7.54,10.07
2023-02-22 18:25:00,7,high,7.543,10.07
2023-02-22 18:30:00,7,high,7.542,10.07
2023-02-22 18:35:00,7,high,7.543,10.06
2023-02-22 18:40:00,7,high,7.544,10.05
2023-02-22 18:45:00,7,high,7.543,10.05
2023-02-22 18:50:00,7,high,7.544,10.04
2023-02-22 18:55:00,7,high,7.546,10.04
2023-02-22 19:00:00,7,high,7.545,10.04
2023-02-22 19:05:00,7,high,7.546,10.03
2023-02-22 19:10:00,7,high,7.545,10.03
2023-02-22 19:15:00,7,high,7.546,10.02
2023-02-22 19:20:00,7,high,7.546,10.02
2023-02-22 19:25:00,7,high,7.547,10.01
2023-02-22 19:30:00,7,high,7.547,10.01
2023-02-22 19:35:00,7,high,7.549,10
2023-02-22 19:40:00,7,high,7.548,10.01
2023-02-22 19:45:00,7,high,7.548,10
2023-02-22 19:50:00,7,high,7.55,10
2023-02-22 19:55:00,7,high,7.55,9.99
2023-02-22 20:00:00,7,high,7.55,9.98
2023-02-22 20:05:00,7,high,7.55,9.98
2023-02-22 20:10:00,7,high,7.552,9.97
2023-02-22 20:15:00,7,high,7.553,9.97
2023-02-22 20:20:00,7,high,7.551,9.97
2023-02-22 20:25:00,7,high,7.552,9.96
2023-02-22 20:30:00,7,high,7.553,9.95
2023-02-22 20:35:00,7,high,7.552,9.95
2023-02-22 20:40:00,7,high,7.554,9.95
2023-02-22 20:45:00,7,high,7.553,9.94
2023-02-22 20:50:00,7,high,7.553,9.94
2023-02-22 20:55:00,7,high,7.554,9.94
2023-02-22 21:00:00,7,high,7.554,9.94
2023-02-22 21:05:00,7,high,7.556,9.93
2023-02-22 21:10:00,7,high,7.555,9.92
2023-02-22 21:15:00,7,high,7.555,9.92
2023-02-22 21:20:00,7,high,7.555,9.92
2023-02-22 21:25:00,7,high,7.555,9.91
2023-02-22 21:30:00,7,high,7.555,9.91
2023-02-22 21:35:00,7,high,7.556,9.91
2023-02-22 21:40:00,7,high,7.557,9.9
2023-02-22 21:45:00,7,high,7.556,9.9
2023-02-22 21:50:00,7,high,7.558,9.89
2023-02-22 21:55:00,7,high,7.557,9.89
2023-02-22 22:00:00,7,high,7.559,9.88
2023-02-22 22:05:00,7,high,7.559,9.88
2023-02-22 22:10:00,7,high,7.558,9.88
2023-02-22 22:15:00,7,high,7.559,9.87
2023-02-22 22:20:00,7,high,7.56,9.87
2023-02-22 22:25:00,7,high,7.559,9.86
2023-02-22 22:30:00,7,high,7.559,9.86
2023-02-22 22:35:00,7,high,7.56,9.86
2023-02-22 22:40:00,7,high,7.559,9.85
2023-02-22 22:45:00,7,high,7.558,9.85
2023-02-22 22:50:00,7,high,7.558,9.85
2023-02-22 22:55:00,7,high,7.558,9.85
2023-02-22 23:00:00,7,high,7.558,9.84
2023-02-22 23:05:00,7,high,7.556,9.84
2023-02-22 23:10:00,7,high,7.558,9.84
2023-02-22 23:15:00,7,high,7.558,9.83
2023-02-22 23:20:00,7,high,7.558,9.83
2023-02-22 23:25:00,7,high,7.557,9.83
2023-02-22 23:30:00,7,high,7.557,9.82
2023-02-22 23:35:00,7,high,7.558,9.82
2023-02-22 23:40:00,7,high,7.556,9.82
2023-02-22 23:45:00,7,high,7.556,9.81
2023-02-22 23:50:00,7,high,7.558,9.81
2023-02-22 23:55:00,7,high,7.556,9.81
2023-02-23 00:00:00,7,high,7.558,9.81
2023-02-23 00:05:00,7,high,7.558,9.81
2023-02-23 00:10:00,7,high,7.558,9.8
2023-02-23 00:15:00,7,high,7.557,9.8
2023-02-23 00:20:00,7,high,7.557,9.8
2023-02-23 00:25:00,7,high,7.557,9.79
2023-02-23 00:30:00,7,high,7.557,9.79
2023-02-23 00:35:00,7,high,7.558,9.79
2023-02-23 00:40:00,7,high,7.557,9.78
2023-02-23 00:45:00,7,high,7.557,9.78
2023-02-23 00:50:00,7,high,7.559,9.78
2023-02-23 00:55:00,7,high,7.558,9.77
2023-02-23 01:00:00,7,high,7.56,9.77
2023-02-23 01:05:00,7,high,7.557,9.76
2023-02-23 01:10:00,7,high,7.559,9.76
2023-02-23 01:15:00,7,high,7.559,9.76
2023-02-23 01:20:00,7,high,7.56,9.76
2023-02-23 01:25:00,7,high,7.56,9.75
2023-02-23 01:30:00,7,high,7.56,9.75
2023-02-23 01:35:00,7,high,7.56,9.75
2023-02-23 01:40:00,7,high,7.56,9.74
2023-02-23 01:45:00,7,high,7.561,9.74
2023-02-23 01:50:00,7,high,7.561,9.73
2023-02-23 01:55:00,7,high,7.558,9.73
2023-02-23 02:00:00,7,high,7.56,9.73
2023-02-23 02:05:00,7,high,7.562,9.72
2023-02-23 02:10:00,7,high,7.561,9.73
2023-02-23 02:15:00,7,high,7.56,9.72
2023-02-23 02:20:00,7,high,7.563,9.72
2023-02-23 02:25:00,7,high,7.561,9.71
2023-02-23 02:30:00,7,high,7.561,9.71
2023-02-23 02:35:00,7,high,7.563,9.71
2023-02-23 02:40:00,7,high,7.562,9.7
2023-02-23 02:45:00,7,high,7.562,9.71
2023-02-23 02:50:00,7,high,7.563,9.7
2023-02-23 02:55:00,7,high,7.563,9.69
2023-02-23 03:00:00,7,high,7.563,9.69
2023-02-23 03:05:00,7,high,7.563,9.69
2023-02-23 03:10:00,7,high,7.562,9.69
2023-02-23 03:15:00,7,high,7.562,9.68
2023-02-23 03:20:00,7,high,7.563,9.68
2023-02-23 03:25:00,7,high,7.563,9.68
2023-02-23 03:30:00,7,high,7.563,9.67
2023-02-23 03:35:00,7,high,7.564,9.67
2023-02-23 03:40:00,7,high,7.563,9.67
2023-02-23 03:45:00,7,high,7.564,9.66
2023-02-23 03:50:00,7,high,7.565,9.66
2023-02-23 03:55:00,7,high,7.564,9.66
2023-02-23 04:00:00,7,high,7.564,9.65
2023-02-23 04:05:00,7,high,7.564,9.65
2023-02-23 04:10:00,7,high,7.564,9.65
2023-02-23 04:15:00,7,high,7.565,9.65
2023-02-23 04:20:00,7,high,7.565,9.64
2023-02-23 04:25:00,7,high,7.564,9.64
2023-02-23 04:30:00,7,high,7.564,9.64
2023-02-23 04:35:00,7,high,7.566,9.63
2023-02-23 04:40:00,7,high,7.566,9.63
2023-02-23 04:45:00,7,high,7.564,9.63
2023-02-23 04:50:00,7,high,7.566,9.63
2023-02-23 04:55:00,7,high,7.565,9.62
2023-02-23 05:00:00,7,high,7.566,9.62
2023-02-23 05:05:00,7,high,7.564,9.62
2023-02-23 05:10:00,7,high,7.566,9.61
2023-02-23 05:15:00,7,high,7.564,9.61
2023-02-23 05:20:00,7,high,7.564,9.61
2023-02-23 05:25:00,7,high,7.566,9.61
2023-02-23 05:30:00,7,high,7.565,9.6
2023-02-23 05:35:00,7,high,7.566,9.6
2023-02-23 05:40:00,7,high,7.567,9.6
2023-02-23 05:45:00,7,high,7.565,9.6
2023-02-23 05:50:00,7,high,7.565,9.6
2023-02-23 05:55:00,7,high,7.565,9.59
2023-02-23 06:00:00,7,high,7.566,9.59
2023-02-23 06:05:00,7,high,7.566,9.59
2023-02-23 06:10:00,7,high,7.567,9.58
2023-02-23 06:15:00,7,high,7.567,9.59
2023-02-23 06:20:00,7,high,7.566,9.58
2023-02-23 06:25:00,7,high,7.566,9.58
2023-02-23 06:30:00,7,high,7.565,9.58
2023-02-23 06:35:00,7,high,7.566,9.58
2023-02-23 06:40:00,7,high,7.564,9.58
2023-02-23 06:45:00,7,high,7.565,9.58
2023-02-23 06:50:00,7,high,7.564,9.57
2023-02-23 06:55:00,7,high,7.565,9.57
2023-02-23 07:00:00,7,high,7.565,9.57
2023-02-23 07:05:00,7,high,7.565,9.56
2023-02-23 07:10:00,7,high,7.567,9.56
2023-02-23 07:15:00,7,high,7.568,9.56
2023-02-23 07:20:00,7,high,7.569,9.55
2023-02-23 07:25:00,7,high,7.571,9.55
2023-02-23 07:30:00,7,high,7.572,9.55
2023-02-23 07:35:00,7,high,7.572,9.54
2023-02-23 07:40:00,7,high,7.572,9.54
2023-02-23 07:45:00,7,high,7.571,9.53
2023-02-23 07:50:00,7,high,7.572,9.54
2023-02-23 07:55:00,7,high,7.571,9.53
2023-02-23 08:00:00,7,high,7.57,9.53
2023-02-23 08:05:00,7,high,7.573,9.53
2023-02-23 08:10:00,7,high,7.571,9.52
2023-02-23 08:15:00,7,high,7.573,9.52
2023-02-23 08:20:00,7,high,7.572,9.52
2023-02-23 08:25:00,7,high,7.571,9.51
2023-02-23 08:30:00,7,high,7.57,9.51
2023-02-23 08:35:00,7,high,7.571,9.52
2023-02-23 08:40:00,7,high,7.571,9.51
2023-02-23 08:45:00,7,high,7.571,9.5
2023-02-23 08:50:00,7,high,7.569,9.51
2023-02-23 08:55:00,7,high,7.57,9.51
2023-02-23 09:00:00,7,high,7.57,9.5
2023-02-23 09:05:00,7,high,7.569,9.5
2023-02-23 09:10:00,7,high,7.568,9.5
2023-02-23 09:15:00,7,high,7.568,9.5
2023-02-23 09:20:00,7,high,7.569,9.5
2023-02-23 09:25:00,7,high,7.567,9.51
2023-02-23 09:30:00,7,high,7.567,9.5
2023-02-23 09:35:00,7,high,7.567,9.5
2023-02-23 09:40:00,7,high,7.566,9.5
2023-02-23 09:45:00,7,high,7.565,9.51
2023-02-23 09:50:00,7,high,7.564,9.5
2023-02-23 09:55:00,7,high,7.564,9.51
2023-02-23 10:00:00,7,high,7.564,9.51
2023-02-23 10:05:00,7,high,7.561,9.52
2023-02-23 10:10:00,7,high,7.562,9.52
2023-02-23 10:15:00,7,high,7.562,9.52
2023-02-23 10:20:00,7,high,7.56,9.52
2023-02-23 10:25:00,7,high,7.56,9.52
2023-02-23 10:30:00,7,high,7.559,9.52
2023-02-23 10:35:00,7,high,7.556,9.52
2023-02-23 10:40:00,7,high,7.557,9.53
2023-02-23 10:45:00,7,high,7.556,9.52
2023-02-23 10:50:00,7,high,7.555,9.53
2023-02-23 10:55:00,7,high,7.521,9.53
2023-02-23 11:00:00,7,high,7.519,9.53
2023-02-23 11:05:00,7,high,7.518,9.54
2023-02-23 11:10:00,7,high,7.518,9.54
2023-02-23 11:15:00,7,high,7.518,9.54
2023-02-23 11:20:00,7,high,7.517,9.54
2023-02-23 11:25:00,7,high,7.516,9.54
2023-02-23 11:30:00,7,high,7.514,9.54
2023-02-23 11:35:00,7,high,7.514,9.55
2023-02-23 11:40:00,7,high,7.513,9.55
2023-02-23 11:45:00,7,high,7.515,9.55
2023-02-23 11:50:00,7,high,7.513,9.55
2023-02-23 11:55:00,7,high,7.513,9.55
2023-02-23 12:00:00,7,high,7.513,9.56
2023-02-23 12:05:00,7,high,7.512,9.56
2023-02-23 12:10:00,7,high,7.512,9.56
2023-02-23 12:15:00,7,high,7.511,9.56
2023-02-23 12:20:00,7,high,7.511,9.56
2023-02-23 12:25:00,7,high,7.509,9.56
2023-02-23 12:30:00,7,high,7.509,9.57
2023-02-23 12:35:00,7,high,7.509,9.57
2023-02-23 12:40:00,7,high,7.508,9.58
2023-02-23 12:45:00,7,high,7.507,9.6
2023-02-23 12:50:00,7,high,7.504,9.62
2023-02-23 12:55:00,7,high,7.502,9.64
2023-02-23 13:00:00,7,high,7.501,9.66
2023-02-23 13:05:00,7,high,7.5,9.68
2023-02-23 13:10:00,7,high,7.498,9.7
2023-02-23 13:15:00,7,high,7.498,9.72
2023-02-23 13:20:00,7,high,7.496,9.74
2023-02-23 13:25:00,7,high,7.495,9.75
2023-02-23 13:30:00,7,high,7.494,9.78
2023-02-23 13:35:00,7,high,7.491,9.79
2023-02-23 13:40:00,7,high,7.488,9.81
2023-02-23 13:45:00,7,high,7.49,9.82
2023-02-23 13:50:00,7,high,7.488,9.84
2023-02-23 13:55:00,7,high,7.488,9.86
2023-02-23 14:00:00,7,high,7.486,9.88
2023-02-23 14:05:00,7,high,7.485,9.89
2023-02-23 14:10:00,7,high,7.484,9.91
2023-02-23 14:15:00,7,high,7.483,9.93
2023-02-23 14:20:00,7,high,7.481,9.95
2023-02-23 14:25:00,7,high,7.478,9.97
2023-02-23 14:30:00,7,high,7.479,9.98
2023-02-23 14:35:00,7,high,7.479,10
2023-02-23 14:40:00,7,high,7.477,10.02
2023-02-23 14:45:00,7,high,7.477,10.04
2023-02-23 14:50:00,7,high,7.475,10.05
2023-02-23 14:55:00,7,high,7.475,10.08
2023-02-23 15:00:00,7,high,7.473,10.09
2023-02-23 15:05:00,7,high,7.474,10.11
2023-02-23 15:10:00,7,high,7.472,10.12
2023-02-23 15:15:00,7,high,7.471,10.15
2023-02-23 15:20:00,7,high,7.47,10.16
2023-02-23 15:25:00,7,high,7.47,10.18
2023-02-23 15:30:00,7,high,7.47,10.2
2023-02-23 15:35:00,7,high,7.469,10.23
2023-02-23 15:40:00,7,high,7.468,10.25
2023-02-23 15:45:00,7,high,7.468,10.25
2023-02-23 15:50:00,7,high,7.467,10.18
2023-02-23 15:55:00,7,high,7.47,10.07
2023-02-23 16:00:00,7,high,7.47,10.03
2023-02-23 16:05:00,7,high,7.466,10.05
2023-02-23 16:10:00,7,high,7.466,10.07
2023-02-23 16:15:00,7,high,7.466,10.09
2023-02-23 16:20:00,7,high,7.468,10.11
2023-02-23 16:25:00,7,high,7.467,10.13
2023-02-23 16:30:00,7,high,7.464,10.14
2023-02-23 16:35:00,7,high,7.466,10.16
2023-02-23 16:40:00,7,high,7.465,10.17
2023-02-23 16:45:00,7,high,7.464,10.2
2023-02-23 16:50:00,7,high,7.463,10.21
2023-02-23 16:55:00,7,high,7.463,10.23
2023-02-23 17:00:00,7,high,7.463,10.25
2023-02-23 17:05:00,7,high,7.463,10.27
2023-02-23 17:10:00,7,high,7.462,10.29
2023-02-23 17:15:00,7,high,7.463,10.28
2023-02-23 17:20:00,7,high,7.464,10.18
2023-02-23 17:25:00,7,high,7.465,10.1
2023-02-23 17:30:00,7,high,7.471,10.06
2023-02-23 17:35:00,7,high,7.47,10.08
2023-02-23 17:40:00,7,high,7.47,10.09
2023-02-23 17:45:00,7,high,7.47,10.11
2023-02-23 17:50:00,7,high,7.471,10.13
2023-02-23 17:55:00,7,high,7.47,10.14
2023-02-23 18:00:00,7,high,7.47,10.16
2023-02-23 18:05:00,7,high,7.469,10.18
2023-02-23 18:10:00,7,high,7.469,10.19
2023-02-23 18:15:00,7,high,7.469,10.21
2023-02-23 18:20:00,7,high,7.47,10.22
2023-02-23 18:25:00,7,high,7.468,10.24
2023-02-23 18:30:00,7,high,7.47,10.26
2023-02-23 18:35:00,7,high,7.471,10.27
2023-02-23 18:40:00,7,high,7.472,10.29
2023-02-23 18:45:00,7,high,7.469,10.31
2023-02-23 18:50:00,7,high,7.475,10.3
2023-02-23 18:55:00,7,high,7.474,10.19
2023-02-23 19:00:00,7,high,7.477,10.11
2023-02-23 19:05:00,7,high,7.48,10.11
2023-02-23 19:10:00,7,high,7.477,10.13
2023-02-23 19:15:00,7,high,7.478,10.15
2023-02-23 19:20:00,7,high,7.478,10.16
2023-02-23 19:25:00,7,high,7.478,10.18
2023-02-23 19:30:00,7,high,7.479,10.19
2023-02-23 19:35:00,7,high,7.477,10.21
2023-02-23 19:40:00,7,high,7.479,10.22
2023-02-23 19:45:00,7,high,7.479,10.24
2023-02-23 19:50:00,7,high,7.478,10.25
2023-02-23 19:55:00,7,high,7.479,10.27
2023-02-23 20:00:00,7,high,7.478,10.29
2023-02-23 20:05:00,7,high,7.477,10.31
2023-02-23 20:10:00,7,high,7.476,10.32
2023-02-23 20:15:00,7,high,7.477,10.33
2023-02-23 20:20:00,7,high,7.478,10.26
2023-02-23 20:25:00,7,high,7.477,10.15
2023-02-23 20:30:00,7,high,7.478,10.11
2023-02-23 20:35:00,7,high,7.48,10.14
2023-02-23 20:40:00,7,high,7.479,10.15
2023-02-23 20:45:00,7,high,7.48,10.17
2023-02-23 20:50:00,7,high,7.479,10.19
2023-02-23 20:55:00,7,high,7.479,10.2
2023-02-23 21:00:00,7,high,7.478,10.22
2023-02-23 21:05:00,7,high,7.48,10.23
2023-02-23 21:10:00,7,high,7.479,10.25
2023-02-23 21:15:00,7,high,7.483,10.27
2023-02-23 21:20:00,7,high,7.482,10.28
2023-02-23 21:25:00,7,high,7.481,10.29
2023-02-23 21:30:00,7,high,7.481,10.31
2023-02-23 21:35:00,7,high,7.479,10.33
2023-02-23 21:40:00,7,high,7.479,10.34
2023-02-23 21:45:00,7,high,7.479,10.28
2023-02-23 21:50:00,7,high,7.481,10.18
2023-02-23 21:55:00,7,high,7.482,10.11
2023-02-23 22:00:00,7,high,7.482,10.12
2023-02-23 22:05:00,7,high,7.483,10.14
2023-02-23 22:10:00,7,high,7.483,10.15
2023-02-23 22:15:00,7,high,7.482,10.17
2023-02-23 22:20:00,7,high,7.481,10.18
2023-02-23 22:25:00,7,high,7.481,10.2
2023-02-23 22:30:00,7,high,7.482,10.21
2023-02-23 22:35:00,7,high,7.481,10.23
2023-02-23 22:40:00,7,high,7.481,10.25
2023-02-23 22:45:00,7,high,7.481,10.26
2023-02-23 22:50:00,7,high,7.48,10.28
2023-02-23 22:55:00,7,high,7.478,10.29
2023-02-23 23:00:00,7,high,7.479,10.31
2023-02-23 23:05:00,7,high,7.478,10.33
2023-02-23 23:10:00,7,high,7.477,10.34
2023-02-23 23:15:00,7,high,7.479,10.32
2023-02-23 23:20:00,7,high,7.479,10.21
2023-02-23 23:25:00,7,high,7.481,10.14
2023-02-23 23:30:00,7,high,7.482,10.14
2023-02-23 23:35:00,7,high,7.481,10.16
2023-02-23 23:40:00,7,high,7.481,10.18
2023-02-23 23:45:00,7,high,7.481,10.19
2023-02-23 23:50:00,7,high,7.481,10.21
2023-02-23 23:55:00,7,high,7.481,10.21
2023-02-24 00:00:00,7,high,7.48,10.23
2023-02-24 00:05:00,7,high,7.48,10.25
2023-02-24 00:10:00,7,high,7.481,10.27
2023-02-24 00:15:00,7,high,7.48,10.28
2023-02-24 00:20:00,7,high,7.479,10.29
2023-02-24 00:25:00,7,high,7.479,10.31
2023-02-24 00:30:00,7,high,7.479,10.32
2023-02-24 00:35:00,7,high,7.48,10.34
2023-02-24 00:40:00,7,high,7.478,10.34
2023-02-24 00:45:00,7,high,7.479,10.27
2023-02-24 00:50:00,7,high,7.48,10.16
2023-02-24 00:55:00,7,high,7.48,10.13
2023-02-24 01:00:00,7,high,7.48,10.15
2023-02-24 01:05:00,7,high,7.481,10.16
2023-02-24 01:10:00,7,high,7.481,10.18
2023-02-24 01:15:00,7,high,7.48,10.19
2023-02-24 01:20:00,7,high,7.481,10.21
2023-02-24 01:25:00,7,high,7.482,10.22
2023-02-24 01:30:00,7,high,7.48,10.24
2023-02-24 01:35:00,7,high,7.482,10.25
2023-02-24 01:40:00,7,high,7.48,10.27
2023-02-24 01:45:00,7,high,7.48,10.28
2023-02-24 01:50:00,7,high,7.479,10.3
2023-02-24 01:55:00,7,high,7.479,10.31
2023-02-24 02:00:00,7,high,7.478,10.32
2023-02-24 02:05:00,7,high,7.478,10.34
2023-02-24 02:10:00,7,high,7.479,10.3
2023-02-24 02:15:00,7,high,7.48,10.21
2023-02-24 02:20:00,7,high,7.481,10.14
2023-02-24 02:25:00,7,high,7.483,10.1
2023-02-24 02:30:00,7,high,7.483,10.11
2023-02-24 02:35:00,7,high,7.482,10.12
2023-02-24 02:40:00,7,high,7.481,10.14
2023-02-24 02:45:00,7,high,7.483,10.15
2023-02-24 02:50:00,7,high,7.483,10.17
2023-02-24 02:55:00,7,high,7.482,10.18
2023-02-24 03:00:00,7,high,7.482,10.2
2023-02-24 03:05:00,7,high,7.482,10.21
2023-02-24 03:10:00,7,high,7.481,10.23
2023-02-24 03:15:00,7,high,7.481,10.24
2023-02-24 03:20:00,7,high,7.481,10.26
2023-02-24 03:25:00,7,high,7.481,10.27
2023-02-24 03:30:00,7,high,7.48,10.29
2023-02-24 03:35:00,7,high,7.48,10.3
2023-02-24 03:40:00,7,high,7.479,10.32
2023-02-24 03:45:00,7,high,7.479,10.33
2023-02-24 03:50:00,7,high,7.48,10.34
2023-02-24 03:55:00,7,high,7.48,10.26
2023-02-24 04:00:00,7,high,7.486,10.15
2023-02-24 04:05:00,7,high,7.491,10.13
2023-02-24 04:10:00,7,high,7.49,10.14
2023-02-24 04:15:00,7,high,7.489,10.16
2023-02-24 04:20:00,7,high,7.489,10.17
2023-02-24 04:25:00,7,high,7.488,10.19
2023-02-24 04:30:00,7,high,7.488,10.21
